good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Terfi aldıktan sonra kendime hediye aldım.,Terfi aldıktan sonra bana hediye aldım.,kendime,bana,aldım,binding
Buradan anlıyoruz ki kendine artık güveniyorsun.,Buradan anlıyoruz ki sana artık güveniyorsun.,kendine,sana,güveniyorsun,binding
Sahneye çıkmadan önce kendine aynada son bir kez bak.,Sahneye çıkmadan önce sana aynada son bir kez bak.,kendine,sana,bak,binding
Böyle durumlarda kendimizi onun yerine koyuyoruz.,Böyle durumlarda bizi onun yerine koyuyoruz.,kendimizi,bizi,koyuyoruz,binding
Ortam gerilince kendinizi sakinleştirmeyi bilmelisiniz.,Ortam gerilince sizi sakinleştirmeyi bilmelisiniz.,kendinizi,sizi,bilmelisiniz,binding
Bence kendini objektif bir şekilde değerlendirmişsin.,Bence seni objektif bir şekilde değerlendirmişsin.,kendini,seni,değerlendirmişsin,binding
Kafa dağıtmak için kendimi yemeğe çıkardım.,Kafa dağıtmak için beni yemeğe çıkardım.,kendimi,beni,çıkardım,binding
Tatil için kendimize birkaç parça bir şeyler aldık.,Tatil için bize birkaç parça bir şeyler aldık.,kendimize,bize,aldık,binding
Her şey iyi olacak diye kendimi sürekli telkin ediyorum.,Her şey iyi olacak diye beni sürekli telkin ediyorum.,kendimi,beni,ediyorum,binding
Seçimlerde kendini aday göstermeliydin.,Seçimlerde seni aday göstermeliydin.,kendini,seni,göstermeliydin,binding
Başarılı olmak için kendime bazı hedefler koydum.,Başarılı olmak için bana bazı hedefler koydum.,kendime,bana,koydum,binding
Yoğun tempoda tükenmemek için kendine zaman ayırmalısın.,Yoğun tempoda tükenmemek için sana zaman ayırmalısın.,kendine,sana,ayırmalısın,binding
İddialara karşı kendimizi iyi savunmalıyız.,İddialara karşı bizi iyi savunmalıyız.,kendimizi,bizi,savunmalıyız,binding
Başkasına bel bağlamadan kendini yerden kaldırmayı öğrenmelisin.,Başkasına bel bağlamadan seni yerden kaldırmayı öğrenmelisin.,kendini,seni,öğrenmelisin,binding
Hata yaptığında kendini affetmeyi bilmelisin.,Hata yaptığında seni affetmeyi bilmelisin.,kendini,seni,bilmelisin,binding
Söz almadan önce kendimi biraz toparladım.,Söz almadan önce beni biraz toparladım.,kendimi,beni,toparladım,binding
Sınavdan sonra kendine ödül olarak tatlı alırsın.,Sınavdan sonra sana ödül olarak tatlı alırsın.,kendine,sana,alırsın,binding
Yeni işimde kendime daha çok güveniyorum.,Yeni işimde bana daha çok güveniyorum.,kendime,bana,güveniyorum,binding
Kusurlarına kafayı taktığın için sürekli kendini aynada inceliyorsun.,Kusurlarına kafayı taktığın için sürekli seni aynada inceliyorsun.,kendini,seni,inceliyorsun,binding
Spor yaparak kendini daha zinde hissedebilirsin.,Spor yaparak seni daha zinde hissedebilirsin.,kendini,seni,hissedebilirsin,binding
Bütün eleştirilere rağmen kendini oyunda tutmayı başardın.,Bütün eleştirilere rağmen seni oyunda tutmayı başardın.,kendini,seni,başardın,binding
İşe dönmeden önce kendimize bir güzellik yapıp masaj aldık.,İşe dönmeden önce bize bir güzellik yapıp masaj aldık.,kendimize,bize,aldık,binding
Dikkat dağınıklığımla başa çıkmak için kendime yeni çalışma yöntemleri buldum.,Dikkat dağınıklığımla başa çıkmak için bana yeni çalışma yöntemleri buldum.,kendime,bana,buldum,binding
Zorlu süreçlerden geçerken kendini ihmal etmemelisin.,Zorlu süreçlerden geçerken seni ihmal etmemelisin.,kendini,seni,etmemelisin,binding
Yanlış anlaşılmamak için kendimi daha iyi ifade etmeye çalışıyorum.,Yanlış anlaşılmamak için beni daha iyi ifade etmeye çalışıyorum.,kendimi,beni,çalışıyorum,binding
